,participant,category,score,VR
0,pp1,ASQ_mean_VR,7.666666667,Yes
1,pp2,ASQ_mean_VR,6.666666667,Yes
2,pp3,ASQ_mean_VR,7.666666667,Yes
3,pp4,ASQ_mean_VR,6,Yes
4,pp5,ASQ_mean_VR,7.333333333,Yes
5,pp6,ASQ_mean_VR,7.333333333,Yes
6,pp7,ASQ_mean_VR,8,Yes
7,pp8,ASQ_mean_VR,6.333333333,Yes
8,pp9,ASQ_mean_VR,3.666666667,Yes
9,pp10,ASQ_mean_VR,5.666666667,Yes
10,pp11,ASQ_mean_VR,7.666666667,Yes
11,pp12,ASQ_mean_VR,7.666666667,Yes
12,pp13,ASQ_mean_VR,5,Yes
13,pp14,ASQ_mean_VR,9,Yes
14,pp15,ASQ_mean_VR,7.333333333,Yes
15,pp16,ASQ_mean_VR,5,Yes
16,pp17,ASQ_mean_VR,9,Yes
17,pp18,ASQ_mean_VR,6.333333333,Yes
18,pp19,ASQ_mean_VR,6,Yes
19,pp20,ASQ_mean_VR,6,Yes
20,pp21,ASQ_mean_VR,7.666666667,Yes
21,pp22,ASQ_mean_VR,8,Yes
22,pp23,ASQ_mean_VR,8,Yes
23,pp24,ASQ_mean_VR,8.666666667,Yes
24,pp25,ASQ_mean_VR,7.666666667,Yes
25,pp26,ASQ_mean_VR,7.333333333,Yes
26,pp27,ASQ_mean_VR,8,Yes
27,pp1,MARS_mean_VR,6.25,Yes
28,pp2,MARS_mean_VR,5.75,Yes
29,pp3,MARS_mean_VR,6.25,Yes
30,pp4,MARS_mean_VR,4.75,Yes
31,pp5,MARS_mean_VR,7,Yes
32,pp6,MARS_mean_VR,7,Yes
33,pp7,MARS_mean_VR,7.5,Yes
34,pp8,MARS_mean_VR,5.5,Yes
35,pp9,MARS_mean_VR,4,Yes
36,pp10,MARS_mean_VR,5.25,Yes
37,pp11,MARS_mean_VR,6.75,Yes
38,pp12,MARS_mean_VR,5.75,Yes
39,pp13,MARS_mean_VR,5,Yes
40,pp14,MARS_mean_VR,8.5,Yes
41,pp15,MARS_mean_VR,5.25,Yes
42,pp16,MARS_mean_VR,4.5,Yes
43,pp17,MARS_mean_VR,8.75,Yes
44,pp18,MARS_mean_VR,6.75,Yes
45,pp19,MARS_mean_VR,6.5,Yes
46,pp20,MARS_mean_VR,5.75,Yes
47,pp21,MARS_mean_VR,7.25,Yes
48,pp22,MARS_mean_VR,7,Yes
49,pp23,MARS_mean_VR,8.5,Yes
50,pp24,MARS_mean_VR,6,Yes
51,pp25,MARS_mean_VR,6.5,Yes
52,pp26,MARS_mean_VR,7.75,Yes
53,pp27,MARS_mean_VR,6.75,Yes
54,pp1,Interactivity_mean,8,Yes
55,pp2,Interactivity_mean,6.666666667,Yes
56,pp3,Interactivity_mean,9,Yes
57,pp4,Interactivity_mean,6.333333333,Yes
58,pp5,Interactivity_mean,7.333333333,Yes
59,pp6,Interactivity_mean,8.666666667,Yes
60,pp7,Interactivity_mean,8,Yes
61,pp8,Interactivity_mean,8.333333333,Yes
62,pp9,Interactivity_mean,5.333333333,Yes
63,pp10,Interactivity_mean,6.333333333,Yes
64,pp11,Interactivity_mean,8.333333333,Yes
65,pp12,Interactivity_mean,8,Yes
66,pp13,Interactivity_mean,7,Yes
67,pp14,Interactivity_mean,6.666666667,Yes
68,pp15,Interactivity_mean,7.333333333,Yes
69,pp16,Interactivity_mean,6.666666667,Yes
70,pp17,Interactivity_mean,8.333333333,Yes
71,pp18,Interactivity_mean,7,Yes
72,pp19,Interactivity_mean,7.333333333,Yes
73,pp20,Interactivity_mean,7.666666667,Yes
74,pp21,Interactivity_mean,8,Yes
75,pp22,Interactivity_mean,9,Yes
76,pp23,Interactivity_mean,7.666666667,Yes
77,pp24,Interactivity_mean,7.666666667,Yes
78,pp25,Interactivity_mean,8.333333333,Yes
79,pp26,Interactivity_mean,7.333333333,Yes
80,pp27,Interactivity_mean,6.333333333,Yes
81,pp1,Presence_mean,7.25,Yes
82,pp2,Presence_mean,6,Yes
83,pp3,Presence_mean,7.75,Yes
84,pp4,Presence_mean,4.5,Yes
85,pp5,Presence_mean,5.5,Yes
86,pp6,Presence_mean,5.25,Yes
87,pp7,Presence_mean,4,Yes
88,pp8,Presence_mean,5.75,Yes
89,pp9,Presence_mean,7.25,Yes
90,pp10,Presence_mean,3.75,Yes
91,pp11,Presence_mean,8.25,Yes
92,pp12,Presence_mean,4.5,Yes
93,pp13,Presence_mean,4,Yes
94,pp14,Presence_mean,9,Yes
95,pp15,Presence_mean,5,Yes
96,pp16,Presence_mean,6.5,Yes
97,pp17,Presence_mean,4.75,Yes
98,pp18,Presence_mean,6.75,Yes
99,pp19,Presence_mean,5.75,Yes
100,pp20,Presence_mean,7.25,Yes
101,pp21,Presence_mean,7.75,Yes
102,pp22,Presence_mean,7.5,Yes
103,pp23,Presence_mean,5.75,Yes
104,pp24,Presence_mean,6.25,Yes
105,pp25,Presence_mean,8.5,Yes
106,pp26,Presence_mean,8.25,Yes
107,pp27,Presence_mean,6,Yes
108,pp1,Realism_mean,7.333333333,Yes
109,pp2,Realism_mean,6,Yes
110,pp3,Realism_mean,4.666666667,Yes
111,pp4,Realism_mean,6.333333333,Yes
112,pp5,Realism_mean,5.333333333,Yes
113,pp6,Realism_mean,5.333333333,Yes
114,pp7,Realism_mean,3.666666667,Yes
115,pp8,Realism_mean,2.666666667,Yes
116,pp9,Realism_mean,6.333333333,Yes
117,pp10,Realism_mean,5,Yes
118,pp11,Realism_mean,7.666666667,Yes
119,pp12,Realism_mean,3.333333333,Yes
120,pp13,Realism_mean,4.666666667,Yes
121,pp14,Realism_mean,9,Yes
122,pp15,Realism_mean,3,Yes
123,pp16,Realism_mean,5.333333333,Yes
124,pp17,Realism_mean,4.666666667,Yes
125,pp18,Realism_mean,6.333333333,Yes
126,pp19,Realism_mean,5.666666667,Yes
127,pp20,Realism_mean,4.333333333,Yes
128,pp21,Realism_mean,6,Yes
129,pp22,Realism_mean,5.333333333,Yes
130,pp23,Realism_mean,3.666666667,Yes
131,pp24,Realism_mean,8,Yes
132,pp25,Realism_mean,8,Yes
133,pp26,Realism_mean,7.666666667,Yes
134,pp27,Realism_mean,6.666666667,Yes
