participant,ASQ_mean,MARS_mean,Interactivity_mean,Presence_mean,Realism_mean
pp1,7,7,5.333333333,5.25,5.333333333
pp2,7.333333333,5.75,6,2.5,3
pp3,5.666666667,7.25,2.666666667,1.5,1.666666667
pp4,7,5.25,7.666666667,7,9
pp5,6.333333333,3.75,3.666666667,2.25,3
pp6,8.666666667,6.25,7.666666667,7,8.333333333
pp7,7.666666667,8.5,4,8.25,4
pp8,6.333333333,8.25,4.666666667,2,4.333333333
pp9,5,0.75,0,0.75,0
pp10,3.666666667,2.5,4.333333333,2,4.333333333
pp11,4.333333333,2.25,1,0.5,2
pp12,8.666666667,7,8.333333333,8.5,7.333333333
pp13,5.333333333,4.75,1.666666667,3.5,3
pp14,8.666666667,7.5,7.333333333,7.75,6.666666667
pp15,3,6.5,3.333333333,0.75,0
pp16,5.666666667,4.5,2.666666667,4.25,2
pp17,7,5,3.666666667,3,2.666666667
pp18,6.333333333,7.5,7.333333333,2.25,3.666666667
pp19,5.666666667,5.5,7,4.75,3
pp20,6.666666667,5.25,5.333333333,3.5,1.333333333
pp21,7.666666667,7,8.333333333,7.25,3
pp22,6.333333333,4.75,6,7.25,4.666666667
pp23,8.666666667,7.25,3,1.5,1.666666667
pp24,6.666666667,6.75,4.333333333,5,3
pp25,7.666666667,7.5,6.666666667,7.5,6.666666667
pp26,7.333333333,6.75,5.666666667,3.75,4.333333333
pp27,7.333333333,5.75,2.333333333,1.5,3.333333333
