,participant,question,score,VR
0,pp1,Interactivity_1,5,No
1,pp2,Interactivity_1,4,No
2,pp3,Interactivity_1,2,No
3,pp4,Interactivity_1,7,No
4,pp5,Interactivity_1,4,No
5,pp6,Interactivity_1,8,No
6,pp7,Interactivity_1,7,No
7,pp8,Interactivity_1,6,No
8,pp9,Interactivity_1,0,No
9,pp10,Interactivity_1,5,No
10,pp11,Interactivity_1,2,No
11,pp12,Interactivity_1,9,No
12,pp13,Interactivity_1,3,No
13,pp14,Interactivity_1,7,No
14,pp15,Interactivity_1,4,No
15,pp16,Interactivity_1,3,No
16,pp17,Interactivity_1,2,No
17,pp18,Interactivity_1,7,No
18,pp19,Interactivity_1,7,No
19,pp20,Interactivity_1,6,No
20,pp21,Interactivity_1,9,No
21,pp22,Interactivity_1,7,No
22,pp23,Interactivity_1,5,No
23,pp24,Interactivity_1,6,No
24,pp25,Interactivity_1,7,No
25,pp26,Interactivity_1,6,No
26,pp27,Interactivity_1,4,No
27,pp1,Interactivity_2,5,No
28,pp2,Interactivity_2,7,No
29,pp3,Interactivity_2,2,No
30,pp4,Interactivity_2,7,No
31,pp5,Interactivity_2,4,No
32,pp6,Interactivity_2,9,No
33,pp7,Interactivity_2,2,No
34,pp8,Interactivity_2,3,No
35,pp9,Interactivity_2,0,No
36,pp10,Interactivity_2,4,No
37,pp11,Interactivity_2,1,No
38,pp12,Interactivity_2,8,No
39,pp13,Interactivity_2,1,No
40,pp14,Interactivity_2,9,No
41,pp15,Interactivity_2,3,No
42,pp16,Interactivity_2,1,No
43,pp17,Interactivity_2,4,No
44,pp18,Interactivity_2,6,No
45,pp19,Interactivity_2,6,No
46,pp20,Interactivity_2,5,No
47,pp21,Interactivity_2,8,No
48,pp22,Interactivity_2,2,No
49,pp23,Interactivity_2,1,No
50,pp24,Interactivity_2,1,No
51,pp25,Interactivity_2,6,No
52,pp26,Interactivity_2,4,No
53,pp27,Interactivity_2,2,No
54,pp1,Interactivity_3,6,No
55,pp2,Interactivity_3,7,No
56,pp3,Interactivity_3,4,No
57,pp4,Interactivity_3,9,No
58,pp5,Interactivity_3,3,No
59,pp6,Interactivity_3,6,No
60,pp7,Interactivity_3,3,No
61,pp8,Interactivity_3,5,No
62,pp9,Interactivity_3,0,No
63,pp10,Interactivity_3,4,No
64,pp11,Interactivity_3,0,No
65,pp12,Interactivity_3,8,No
66,pp13,Interactivity_3,1,No
67,pp14,Interactivity_3,6,No
68,pp15,Interactivity_3,3,No
69,pp16,Interactivity_3,4,No
70,pp17,Interactivity_3,5,No
71,pp18,Interactivity_3,9,No
72,pp19,Interactivity_3,8,No
73,pp20,Interactivity_3,5,No
74,pp21,Interactivity_3,8,No
75,pp22,Interactivity_3,9,No
76,pp23,Interactivity_3,3,No
77,pp24,Interactivity_3,6,No
78,pp25,Interactivity_3,7,No
79,pp26,Interactivity_3,7,No
80,pp27,Interactivity_3,1,No
81,pp1,Interactivity_1,8,Yes
82,pp2,Interactivity_1,6,Yes
83,pp3,Interactivity_1,9,Yes
84,pp4,Interactivity_1,6,Yes
85,pp5,Interactivity_1,7,Yes
86,pp6,Interactivity_1,9,Yes
87,pp7,Interactivity_1,9,Yes
88,pp8,Interactivity_1,8,Yes
89,pp9,Interactivity_1,5,Yes
90,pp10,Interactivity_1,7,Yes
91,pp11,Interactivity_1,8,Yes
92,pp12,Interactivity_1,8,Yes
93,pp13,Interactivity_1,7,Yes
94,pp14,Interactivity_1,7,Yes
95,pp15,Interactivity_1,8,Yes
96,pp16,Interactivity_1,6,Yes
97,pp17,Interactivity_1,7,Yes
98,pp18,Interactivity_1,6,Yes
99,pp19,Interactivity_1,7,Yes
100,pp20,Interactivity_1,8,Yes
101,pp21,Interactivity_1,8,Yes
102,pp22,Interactivity_1,9,Yes
103,pp23,Interactivity_1,7,Yes
104,pp24,Interactivity_1,7,Yes
105,pp25,Interactivity_1,7,Yes
106,pp26,Interactivity_1,8,Yes
107,pp27,Interactivity_1,7,Yes
108,pp1,Interactivity_2,8,Yes
109,pp2,Interactivity_2,7,Yes
110,pp3,Interactivity_2,9,Yes
111,pp4,Interactivity_2,5,Yes
112,pp5,Interactivity_2,7,Yes
113,pp6,Interactivity_2,8,Yes
114,pp7,Interactivity_2,9,Yes
115,pp8,Interactivity_2,8,Yes
116,pp9,Interactivity_2,4,Yes
117,pp10,Interactivity_2,6,Yes
118,pp11,Interactivity_2,8,Yes
119,pp12,Interactivity_2,7,Yes
120,pp13,Interactivity_2,7,Yes
121,pp14,Interactivity_2,7,Yes
122,pp15,Interactivity_2,7,Yes
123,pp16,Interactivity_2,7,Yes
124,pp17,Interactivity_2,9,Yes
125,pp18,Interactivity_2,7,Yes
126,pp19,Interactivity_2,8,Yes
127,pp20,Interactivity_2,8,Yes
128,pp21,Interactivity_2,7,Yes
129,pp22,Interactivity_2,9,Yes
130,pp23,Interactivity_2,7,Yes
131,pp24,Interactivity_2,8,Yes
132,pp25,Interactivity_2,9,Yes
133,pp26,Interactivity_2,6,Yes
134,pp27,Interactivity_2,6,Yes
135,pp1,Interactivity_3,8,Yes
136,pp2,Interactivity_3,7,Yes
137,pp3,Interactivity_3,9,Yes
138,pp4,Interactivity_3,8,Yes
139,pp5,Interactivity_3,8,Yes
140,pp6,Interactivity_3,9,Yes
141,pp7,Interactivity_3,6,Yes
142,pp8,Interactivity_3,9,Yes
143,pp9,Interactivity_3,7,Yes
144,pp10,Interactivity_3,6,Yes
145,pp11,Interactivity_3,9,Yes
146,pp12,Interactivity_3,9,Yes
147,pp13,Interactivity_3,7,Yes
148,pp14,Interactivity_3,6,Yes
149,pp15,Interactivity_3,7,Yes
150,pp16,Interactivity_3,7,Yes
151,pp17,Interactivity_3,9,Yes
152,pp18,Interactivity_3,8,Yes
153,pp19,Interactivity_3,7,Yes
154,pp20,Interactivity_3,7,Yes
155,pp21,Interactivity_3,9,Yes
156,pp22,Interactivity_3,9,Yes
157,pp23,Interactivity_3,9,Yes
158,pp24,Interactivity_3,8,Yes
159,pp25,Interactivity_3,9,Yes
160,pp26,Interactivity_3,8,Yes
161,pp27,Interactivity_3,6,Yes
